n,t,Time Elapsed (seconds),,,Average Runtime (seconds)
,,Run 1,Run 2,Run 3,
20000,2,165.097044,168.201223,162.89451,165.3975923
20000,4,160.935094,159.723,161.889234,160.8491093
20000,8,101.691484,104.229843,99.875621,101.932316
20000,16,46.703392,47.115298,45.834002,46.55089733
25000,2,268.059515,270.64312,265.202891,267.9685087
25000,4,255.063759,254.829371,258.140574,256.0112347
25000,8,159.475293,162.008734,158.027191,159.8370727
25000,16,75.655035,76.308295,74.981402,75.648244
30000,2,392.014359,390.202773,395.451002,392.5560447
30000,4,342.224166,345.11498,341.338267,342.892471
30000,8,232.154717,229.119456,234.203887,231.82602
30000,16,98.284437,99.087141,97.652309,98.34129567
